Time,AE,EC,M,O
0.296724138,6.54E-05,1,0.316933139,0
0.793940678,5.47E-05,0.652885505,0.33629828,0
1.294808511,5.90E-05,0.490330925,0.333557153,0
1.795127119,7.02E-05,0.400289121,0.316691767,0
2.296822034,5.21E-05,0.34322573,0.341439771,0
2.797489362,6.93E-05,0.299265784,0.316668965,0
3.297564103,4.99E-05,0.271368127,0.34549895,0
3.795064378,6.30E-05,0.251078921,0.330064623,0
4.293516949,5.45E-05,0.230367023,0.329609031,0
4.795579399,5.83E-05,0.215995503,0.343589194,0
5.295,6.59E-05,0.203737441,0.324941102,0
5.796553191,5.28E-05,0.194860913,0.360562192,0
6.296111111,6.56E-05,0.183448235,0.319060796,0
6.796680851,5.33E-05,0.17753055,0.340276568,0
7.296239316,5.69E-05,0.171190173,0.337290955,0
7.795470085,6.98E-05,0.164427105,0.319020105,0
8.294316239,4.87E-05,0.159354803,0.349748666,0
8.793418803,7.00E-05,0.155550577,0.318370464,0
9.294978903,4.81E-05,0.151323659,0.345884214,0
9.797659574,6.58E-05,0.14667405,0.326721759,0
10.29536481,5.38E-05,0.144137899,0.326456194,0
10.796,5.78E-05,0.141179056,0.332215357,0
11.29695279,6.65E-05,0.138220214,0.304404768,0
11.79457265,5.16E-05,0.136106755,0.341841855,0
12.29374468,6.68E-05,0.132725221,0.307389704,0
12.78991304,5.44E-05,0.132302529,0.331238162,0
13.297,5.77E-05,0.138642906,0.374114525,0
13.79512438,7.03E-05,0.135684063,0.349308134,0
14.29683417,5.05E-05,0.133570604,0.387567321,0
14.79653465,7.10E-05,0.131879837,0.343653805,0
15.29718593,4.91E-05,0.131034454,0.38666388,0
15.79415,6.51E-05,0.128498303,0.360657177,0
16.29262376,5.64E-05,0.127230228,0.359338046,0
16.79502488,5.57E-05,0.125116769,0.385203952,0
17.29621891,6.76E-05,0.123848693,0.343091226,0
17.79485,5.19E-05,0.12300331,0.389910282,0
18.29509901,6.84E-05,0.121735234,0.352856931,0
18.79537688,5.32E-05,0.120467159,0.373017698,0
19.29286432,5.66E-05,0.118776392,0.373838331,0
19.79193069,7.00E-05,0.1183537,0.34918251,0
20.2943,4.89E-05,0.119621775,0.39365851,0
20.79353234,7.19E-05,0.119199084,0.343570368,0
21.2940099,4.88E-05,0.115817549,0.383525369,0
21.79711443,6.84E-05,0.114972166,0.365330549,0
22.29625,5.67E-05,0.11370409,0.360591601,0
22.79435,5.68E-05,0.112858707,0.386302611,0
23.29430693,7.01E-05,0.112013323,0.347661033,0
23.79575,5.04E-05,0.110745248,0.392838558,0
24.29502488,6.95E-05,0.109899864,0.353854722,0
24.7946,5.36E-05,0.109899864,0.386374169,0
25.29726368,5.76E-05,0.108927673,0.391137751,0
25.79625,7.08E-05,0.107997751,0.365102188,0
26.2938,4.88E-05,0.107363714,0.408791119,0
26.79475248,7.03E-05,0.106983291,0.363135824,0
27.29522613,4.79E-05,0.106222446,0.401731273,0
27.79457711,6.68E-05,0.105292524,0.377898267,0
28.29591133,5.76E-05,0.105038909,0.377756452,0
28.79805,5.43E-05,0.104700755,0.403243332,0
29.2979397,6.95E-05,0.103982179,0.360507051,0
29.79336683,4.96E-05,0.103474949,0.40888316,0
30.29453202,7.09E-05,0.103305872,0.369498064,0
30.7960199,5.31E-05,0.102249143,0.388313968,0
31.29447236,5.76E-05,0.102080066,0.392593415,0
31.79325123,7.22E-05,0.101615105,0.366420377,0
32.29597015,4.79E-05,0.101192414,0.408842681,0
32.79646766,7.41E-05,0.100516107,0.358717047,0
33.29562189,4.69E-05,0.10034703,0.403797382,0
33.7962,7.00E-05,0.100431568,0.380058604,0
34.29361809,5.81E-05,0.099586185,0.376445504,0
34.79455446,5.42E-05,0.099078955,0.405177262,0
35.29552239,7.28E-05,0.098867609,0.358900022,0
35.79535,4.81E-05,0.098698532,0.40913837,0
36.29606965,7.24E-05,0.097937687,0.366137623,0
36.7947,5.27E-05,0.097979956,0.392563433,0
37.29732673,5.81E-05,0.097684072,0.392554044,0
37.79625,6.91E-05,0.097092303,0.364397132,0
38.2944,5.07E-05,0.097007765,0.413110117,0
38.79638614,7.30E-05,0.096458266,0.359070446,0
39.29635,4.89E-05,0.096415996,0.40156437,0
39.79565,6.90E-05,0.095655151,0.375568542,0
40.29345,6.11E-05,0.095824228,0.378190051,0
40.79653465,5.52E-05,0.095359267,0.40113983,0
41.29743719,7.49E-05,0.09519019,0.360295874,0
41.79492462,4.88E-05,0.094894306,0.412038184,0
42.29561576,7.43E-05,0.09468296,0.366376836,0
42.796,5.37E-05,0.094260268,0.388956903,0
43.29597015,5.77E-05,0.094133461,0.395444908,0
43.79462687,7.83E-05,0.0936685,0.362699386,0
44.29594059,4.64E-05,0.093753038,0.409336352,0
44.79691542,7.50E-05,0.093414885,0.36270506,0
45.29361809,4.92E-05,0.093203539,0.401428978,0
45.79341584,7.00E-05,0.092907655,0.379102062,0
46.29585,6.12E-05,0.092654039,0.374310108,0
46.79557214,5.39E-05,0.092569501,0.406738039,0
47.29492537,7.67E-05,0.092146809,0.357713094,0
47.7943,4.66E-05,0.092442694,0.409518409,0
48.29487562,7.71E-05,0.091935463,0.370176134,0
48.79631841,5.04E-05,0.09159731,0.387272285,0
49.29409091,5.94E-05,0.091724118,0.392102451,0
49.79413793,7.34E-05,0.091385964,0.365095709,0
50.2960804,4.81E-05,0.091216887,0.410366544,0
50.79368687,7.63E-05,0.090963272,0.357991375,0
51.29389163,5.09E-05,0.090878734,0.399096078,0
51.79691542,6.85E-05,0.090667388,0.382381025,0
52.29517588,6.39E-05,0.090540581,0.374901371,0
52.79231156,5.26E-05,0.090371504,0.406074266,0
53.29435,7.64E-05,0.090498311,0.363760501,0
53.79547739,4.57E-05,0.090160158,0.4088482,0
54.29425,7.89E-05,0.089864274,0.367997108,0
54.79596059,5.09E-05,0.089906543,0.389614703,0
55.29728643,6.12E-05,0.089568389,0.394010039,0
55.79465,7.66E-05,0.089314774,0.362508053,0
56.29674877,4.72E-05,0.089272505,0.412468877,0
56.7979,7.62E-05,0.089230236,0.360230663,0
57.2951,4.81E-05,0.088934352,0.399537012,0
57.79467662,6.84E-05,0.088680737,0.380230708,0
58.29368159,6.40E-05,0.088892083,0.37281609,0
